,date,holding,marketValue
0,2019-12-31,Leidos Holdings Inc.,347521932.0
1,2019-12-31,Zebra Technologies Corp.,344245760.0
2,2019-12-31,Atmos Energy Corp.,334201885.0
3,2019-12-31,IDEX Corp.,327868292.0
4,2019-12-31,STERIS plc,322979504.0
5,2019-12-31,Teledyne Technologies Inc.,317065733.0
6,2019-12-31,Equity LifeStyle Properties Inc.,305528499.0
7,2019-12-31,Tyler Technologies Inc.,293532068.0
8,2019-12-31,Allegion plc,290041331.0
9,2019-12-31,Teradyne Inc.,286874171.0
10,2019-12-31,West Pharmaceutical Services Inc.,278001962.0
11,2019-12-31,EPAM Systems Inc.,276869861.0
12,2019-12-31,Medical Properties Trust Inc.,273821842.0
13,2019-12-31,PerkinElmer Inc.,269851193.0
14,2019-12-31,Insulet Corp.,264829109.0
15,2019-12-31,DocuSign Inc. Class A,261757632.0
16,2019-12-31,Trade Desk Inc. Class A,258826348.0
17,2019-12-31,Fair Isaac Corp.,257519437.0
18,2019-12-31,Aqua America Inc.,254615469.0
19,2019-12-31,ON Semiconductor Corp.,250180344.0
20,2019-12-31,Booz Allen Hamilton Holding Corp. Class A,250027356.0
21,2019-12-31,RPM International Inc.,249606633.0
22,2019-12-31,Neurocrine Biosciences Inc.,247202170.0
23,2019-12-31,Apollo Global Management LLC,239113884.0
24,2019-12-31,Liberty Property Trust,238541299.0
25,2019-12-31,Brown & Brown Inc.,238068348.0
26,2019-12-31,UGI Corp.,234849251.0
27,2019-12-31,Omega Healthcare Investors Inc.,232768940.0
28,2019-12-31,National Retail Properties Inc.,231877331.0
29,2019-12-31,US Foods Holding Corp.,231806819.0
30,2019-12-31,Coupa Software Inc.,229596705.0
31,2019-12-31,Carlisle Cos. Inc.,228661794.0
32,2019-12-31,Guidewire Software Inc.,228450690.0
33,2019-12-31,Sarepta Therapeutics Inc.,228305181.0
34,2019-12-31,WEX Inc.,225699434.0
35,2019-12-31,Kilroy Realty Corp.,223402628.0
36,2019-12-31,Lennox International Inc.,222857812.0
