,date,holding,marketValue
0,2019-12-31,Apple Inc.,24503485941.0
1,2019-12-31,Microsoft Corp.,24035573783.0
2,2019-12-31,Amazon.com Inc.,15374906524.0
3,2019-12-31,Facebook Inc. Class A,9868079285.0
4,2019-12-31,JPMorgan Chase & Co.,8651537453.0
5,2019-12-31,Berkshire Hathaway Inc. Class B,8596820184.0
6,2019-12-31,Alphabet Inc. Class C,8025925159.0
7,2019-12-31,Alphabet Inc. Class A,7975640185.0
8,2019-12-31,Johnson & Johnson,7670037878.0
9,2019-12-31,Visa Inc. Class A,6426236558.0
10,2019-12-31,Procter & Gamble Co.,6222862474.0
11,2019-12-31,Exxon Mobil Corp.,5898595579.0
12,2019-12-31,AT&T Inc.,5703498203.0
13,2019-12-31,Bank of America Corp.,5696414508.0
14,2019-12-31,UnitedHealth Group Inc.,5564466081.0
15,2019-12-31,Mastercard Inc. Class A,5295714308.0
16,2019-12-31,Walt Disney Co.,5208061361.0
17,2019-12-31,Intel Corp.,5201405316.0
18,2019-12-31,Verizon Communications Inc.,5073312843.0
19,2019-12-31,Home Depot Inc.,4759280690.0
20,2019-12-31,Merck & Co. Inc.,4626195033.0
21,2019-12-31,Chevron Corp.,4552516995.0
22,2019-12-31,Pfizer Inc.,4331906061.0
23,2019-12-31,Coca-Cola Co.,4264096141.0
24,2019-12-31,Wells Fargo & Co.,4136775235.0
25,2019-12-31,Comcast Corp. Class A,4078711095.0
26,2019-12-31,Cisco Systems Inc.,4064802991.0
27,2019-12-31,PepsiCo Inc.,3807516727.0
28,2019-12-31,Citigroup Inc.,3484576350.0
29,2019-12-31,Boeing Co.,3479663751.0
30,2019-12-31,Walmart Inc.,3368072486.0
31,2019-12-31,Adobe Inc.,3189743893.0
32,2019-12-31,Abbott Laboratories,3067055959.0
33,2019-12-31,Medtronic plc,3038082201.0
34,2019-12-31,Bristol-Myers Squibb Co.,3006274139.0
35,2019-12-31,McDonald's Corp.,2973181172.0
