,date,holding,marketValue
0,2019-12-31,Microsoft Corp.,33888846722.0
1,2019-12-31,Apple Inc.,33078934264.0
2,2019-12-31,Amazon.com Inc.,21936399732.0
3,2019-12-31,Facebook Inc.,13914060263.0
4,2019-12-31,Berkshire Hathaway Inc.,12087881219.0
5,2019-12-31,JPMorgan Chase & Co.,11573857856.0
6,2019-12-31,Alphabet Inc.,11296006746.0
7,2019-12-31,Alphabet Inc. Class C,11007784599.0
8,2019-12-31,Johnson & Johnson,10815956653.0
9,2019-12-31,Visa Inc.,9063539515.0
10,2019-12-31,Procter & Gamble Co.,8773963959.0
11,2019-12-31,Exxon Mobil Corp.,8317552495.0
12,2019-12-31,AT&T Inc.,8041520050.0
13,2019-12-31,Bank of America Corp.,8030322259.0
14,2019-12-31,UnitedHealth Group Inc.,7846137171.0
15,2019-12-31,Mastercard Inc.,7548843395.0
16,2019-12-31,Walt Disney Co.,7343140620.0
17,2019-12-31,Intel Corp.,7333657745.0
18,2019-12-31,Verizon Communications Inc.,7152907143.0
19,2019-12-31,Home Depot Inc.,6709757820.0
20,2019-12-31,Merck & Co. Inc.,6524667052.0
21,2019-12-31,Chevron Corp.,6419189901.0
22,2019-12-31,Pfizer Inc.,6109379558.0
23,2019-12-31,Coca-Cola Co.,6013513093.0
24,2019-12-31,Wells Fargo & Co.,5768863118.0
25,2019-12-31,Comcast Corp.,5751599817.0
26,2019-12-31,Cisco Systems Inc.,5731498552.0
27,2019-12-31,PepsiCo Inc.,5368729161.0
28,2019-12-31,Citigroup Inc.,4911869520.0
29,2019-12-31,Boeing Co.,4906699409.0
30,2019-12-31,Walmart Inc.,4761702036.0
31,2019-12-31,Adobe Inc.,4497298065.0
32,2019-12-31,Abbott Laboratories,4327478900.0
33,2019-12-31,Medtronic plc,4283639087.0
34,2019-12-31,Bristol-Myers Squibb Co.,4232808122.0
35,2019-12-31,McDonald's Corp.,4192772192.0
36,2019-12-31,Amgen Inc.,4035832182.0
37,2019-12-31,Netflix Inc.,3995150500.0
38,2019-12-31,NVIDIA Corp.,3853315154.0
39,2019-12-31,salesforce.com Inc.,3816951808.0
40,2019-12-31,Accenture plc Class A,3766440532.0
41,2019-12-31,Philip Morris International Inc.,3729165912.0
42,2019-12-31,AbbVie Inc.,3688012931.0
43,2019-12-31,Thermo Fisher Scientific Inc.,3670188287.0
44,2019-12-31,Costco Wholesale Corp.,3640693573.0
45,2019-12-31,United Technologies Corp.,3640130657.0
46,2019-12-31,PayPal Holdings Inc.,3578548520.0
47,2019-12-31,Honeywell International Inc.,3563681715.0
48,2019-12-31,NIKE Inc.,3555636343.0
49,2019-12-31,Union Pacific Corp.,3535728471.0
50,2019-12-31,Texas Instruments Inc.,3377618863.0
51,2019-12-31,Broadcom Inc.,3354882857.0
52,2019-12-31,International Business Machines Corp.,3343800175.0
53,2019-12-31,NextEra Energy Inc.,3334856555.0
54,2019-12-31,Linde plc,3222226384.0
55,2019-12-31,Eli Lilly & Co.,3201033771.0
56,2019-12-31,Oracle Corp.,3184340489.0
57,2019-12-31,American Tower Corp.,2869167336.0
58,2019-12-31,3M Co.,2858503092.0
59,2019-12-31,QUALCOMM Inc.,2838034502.0
60,2019-12-31,Danaher Corp.,2826159540.0
61,2019-12-31,Starbucks Corp.,2779149002.0
62,2019-12-31,General Electric Co.,2745713426.0
63,2019-12-31,CVS Health Corp.,2721596098.0
64,2019-12-31,Lockheed Martin Corp.,2628672451.0
65,2019-12-31,Altria Group Inc.,2626420219.0
66,2019-12-31,Lowe's Cos. Inc.,2603575933.0
67,2019-12-31,Booking Holdings Inc.,2421760470.0
68,2019-12-31,Fidelity National Information Services Inc.,2408075045.0
69,2019-12-31,US Bancorp,2347642334.0
70,2019-12-31,Gilead Sciences Inc.,2316844485.0
71,2019-12-31,United Parcel Service Inc.,2309544284.0
72,2019-12-31,Caterpillar Inc.,2299276292.0
73,2019-12-31,Mondelez International Inc.,2234599841.0
74,2019-12-31,Goldman Sachs Group Inc.,2178536855.0
75,2019-12-31,Anthem Inc.,2157846690.0
76,2019-12-31,American Express Co.,2153281122.0
77,2019-12-31,Cigna Corp.,2151738663.0
78,2019-12-31,Truist Financial Corp.,2128851169.0
79,2019-12-31,Becton Dickinson and Co.,2072544393.0
80,2019-12-31,Charter Communications Inc.,2054666453.0
81,2019-12-31,CME Group Inc.,2026175868.0
82,2019-12-31,ConocoPhillips,2011003197.0
83,2019-12-31,Intuitive Surgical Inc.,1924667352.0
84,2019-12-31,Dominion Energy Inc.,1921580281.0
85,2019-12-31,Southern Co.,1883718246.0
86,2019-12-31,Stryker Corp.,1881620421.0
87,2019-12-31,Fiserv Inc.,1881048027.0
88,2019-12-31,S&P Global Inc.,1879162047.0
89,2019-12-31,TJX Cos. Inc.,1872117185.0
90,2019-12-31,Duke Energy Corp.,1871931835.0
91,2019-12-31,Automatic Data Processing Inc.,1870854387.0
92,2019-12-31,Target Corp.,1830272496.0
93,2019-12-31,Intuit Inc.,1823874643.0
94,2019-12-31,Zoetis Inc.,1776886763.0
95,2019-12-31,Boston Scientific Corp.,1776152517.0
96,2019-12-31,PNC Financial Services Group Inc.,1773522663.0
97,2019-12-31,Morgan Stanley,1747907820.0
98,2019-12-31,Raytheon Co.,1723506079.0
99,2019-12-31,Tesla Inc.,1698845242.0
100,2019-12-31,Chubb Ltd.,1690842118.0
101,2019-12-31,ALLERGAN PLC,1680095251.0
102,2019-12-31,Micron Technology Inc.,1677114026.0
103,2019-12-31,Crown Castle International Corp.,1664120625.0
104,2019-12-31,Colgate-Palmolive Co.,1662133333.0
105,2019-12-31,Applied Materials Inc.,1588107162.0
106,2019-12-31,Vertex Pharmaceuticals Inc.,1585269816.0
107,2019-12-31,Marsh & McLennan Cos. Inc.,1584781403.0
108,2019-12-31,Prologis Inc.,1582160657.0
109,2019-12-31,Schlumberger Ltd.,1567519203.0
110,2019-12-31,Charles Schwab Corp.,1546511278.0
111,2019-12-31,Global Payments Inc.,1544501780.0
112,2019-12-31,Deere & Co.,1536954115.0
113,2019-12-31,BlackRock Inc.,1530456577.0
114,2019-12-31,CSX Corp.,1515226866.0
115,2019-12-31,Biogen Inc.,1508769381.0
116,2019-12-31,ServiceNow Inc.,1500191169.0
117,2019-12-31,Northrop Grumman Corp.,1470217556.0
118,2019-12-31,Illinois Tool Works Inc.,1463524108.0
119,2019-12-31,Air Products & Chemicals Inc.,1457599497.0
120,2019-12-31,Intercontinental Exchange Inc.,1452868873.0
121,2019-12-31,Advanced Micro Devices Inc.,1438733724.0
122,2019-12-31,Norfolk Southern Corp.,1426331155.0
123,2019-12-31,Ecolab Inc.,1409814530.0
124,2019-12-31,Equinix Inc.,1402530120.0
125,2019-12-31,PHILLIPS 66,1394295704.0
126,2019-12-31,Aon plc,1375307210.0
127,2019-12-31,Illumina Inc.,1374170583.0
128,2019-12-31,EOG Resources Inc.,1371585328.0
129,2019-12-31,Edwards Lifesciences Corp.,1370877361.0
130,2019-12-31,Humana Inc.,1367529003.0
