,date,holding,marketValue
0,2019-12-31,Tesla Inc.,844923272.0
1,2019-12-31,Blackstone Group LP,524426088.0
2,2019-12-31,Lululemon Athletica Inc.,393325388.0
3,2019-12-31,Workday Inc. Class A,359631265.0
4,2019-12-31,Palo Alto Networks Inc.,321314013.0
5,2019-12-31,CoStar Group Inc.,310802491.0
6,2019-12-31,Square Inc.,303952515.0
7,2019-12-31,Splunk Inc.,293984731.0
8,2019-12-31,DexCom Inc.,283051310.0
9,2019-12-31,Liberty Broadband Corp.,269963495.0
10,2019-12-31,Veeva Systems Inc. Class A,262839949.0
11,2019-12-31,IAC/InterActiveCorp,256380524.0
12,2019-12-31,Marvell Technology Group Ltd.,251255741.0
13,2019-12-31,Arch Capital Group Ltd.,245890086.0
14,2019-12-31,Invitation Homes Inc.,228612778.0
15,2019-12-31,TransUnion,228506017.0
16,2019-12-31,KKR & Co. Inc. Class A,227990707.0
17,2019-12-31,Markel Corp.,223961864.0
18,2019-12-31,BioMarin Pharmaceutical Inc.,216031507.0
19,2019-12-31,Burlington Stores Inc.,214106488.0
20,2019-12-31,Cheniere Energy Inc.,200659226.0
21,2019-12-31,Sun Communities Inc.,197024862.0
22,2019-12-31,WP Carey Inc.,196455699.0
23,2019-12-31,Annaly Capital Management Inc.,192360366.0
24,2019-12-31,SS&C Technologies Holdings Inc.,191251974.0
25,2019-12-31,TD Ameritrade Holding Corp.,186613858.0
26,2019-12-31,Seattle Genetics Inc.,186462151.0
27,2019-12-31,Paycom Software Inc.,184286198.0
28,2019-12-31,Okta Inc.,184190166.0
29,2019-12-31,Exact Sciences Corp.,183509914.0
30,2019-12-31,Equity LifeStyle Properties Inc.,182628826.0
31,2019-12-31,Alnylam Pharmaceuticals Inc.,182498036.0
32,2019-12-31,Snap Inc.,182015699.0
33,2019-12-31,Teledyne Technologies Inc.,180019213.0
34,2019-12-31,RingCentral Inc. Class A,179453748.0
35,2019-12-31,Fidelity National Financial Inc.,176888265.0
36,2019-12-31,Roku Inc.,173905973.0
37,2019-12-31,GoDaddy Inc. Class A,170495569.0
38,2019-12-31,Domino's Pizza Inc.,170282820.0
39,2019-12-31,VMware Inc. Class A,169552466.0
40,2019-12-31,VICI Properties Inc.,166702585.0
41,2019-12-31,EPAM Systems Inc.,165874538.0
42,2019-12-31,Tyler Technologies Inc.,165806953.0
43,2019-12-31,Ally Financial Inc.,164567678.0
44,2019-12-31,Alleghany Corp.,163367343.0
45,2019-12-31,Teradyne Inc.,161877127.0
46,2019-12-31,West Pharmaceutical Services Inc.,157834925.0
47,2019-12-31,Elanco Animal Health Inc.,156523128.0
48,2019-12-31,Medical Properties Trust Inc.,154915756.0
49,2019-12-31,Fair Isaac Corp.,154361041.0
50,2019-12-31,AXA Equitable Holdings Inc.,154326643.0
51,2019-12-31,Twilio Inc. Class A,154131934.0
52,2019-12-31,Aramark,153584788.0
53,2019-12-31,Insulet Corp.,150275422.0
54,2019-12-31,Trimble Inc.,147444314.0
55,2019-12-31,Trade Desk Inc. Class A,146788429.0
56,2019-12-31,Vistra Energy Corp.,145999604.0
57,2019-12-31,Reinsurance Group of America Inc. Class A,145582414.0
58,2019-12-31,Camden Property Trust,145468829.0
59,2019-12-31,Aqua America Inc.,144414431.0
60,2019-12-31,FactSet Research Systems Inc.,144189249.0
61,2019-12-31,ON Semiconductor Corp.,141668816.0
62,2019-12-31,RPM International Inc.,141643463.0
63,2019-12-31,Booz Allen Hamilton Holding Corp. Class A,141343988.0
64,2019-12-31,Neurocrine Biosciences Inc.,140926377.0
65,2019-12-31,VEREIT Inc.,140070888.0
66,2019-12-31,Crown Holdings Inc.,139291163.0
